time,x,y,z,w0,w1,w2,w3,vx,vy,vz,roll,pitch,yaw
0,0.4423410911402314,-0.03572375627093951,0,0.0,0.0,-0.0956141335009122,0.9954184735451064,0.0,0.0,0.0,0,0,0.0
0,0.46961097655550194,-0.04101131598309596,0,0.0,0.0,-0.10316921281938898,0.9946638193511552,0.0,0.0,0.0,0,0,0.0
0,0.496797427306959,-0.04671235394211738,0,0.0,0.0,-0.11081401437521782,0.9938411614629619,0.0,0.0,0.0,0,0,0.0
0,0.5238929969857395,-0.05283077220617515,0,0.0,0.0,-0.11861881561225557,0.992939865542091,0.0,0.0,0.0,0,0,0.0
0,0.5508890845736699,-0.059374180585330436,0,0.0,0.0,-0.12649336180313903,0.9919674538107287,0.0,0.0,0.0,0,0,0.0
0,0.5777779417636555,-0.06634514158709817,0,0.0,0.0,-0.13449634635926797,0.9909140895234096,0.0,0.0,0.0,0,0,0.0
0,0.6045507602534337,-0.0737492707313659,0,0.0,0.0,-0.14254991128346245,0.9897876149927706,0.0,0.0,0.0,0,0,0.0
0,0.6311996226308269,-0.08158783388173754,0,0.0,0.0,-0.15065065845229977,0.9885870619767834,0.0,0.0,0.0,0,0,0.0
0,0.6577165325812651,-0.08986179453863904,0,0.0,0.0,-0.1588386740489478,0.9873045505953936,0.0,0.0,0.0,0,0,0.0
0,0.6840926590049524,-0.09857413596636486,0,0.0,0.0,-0.16705594829386716,0.9859474175328199,0.0,0.0,0.0,0,0,0.0
0,0.7103200095682656,-0.1077246015665779,0,0.0,0.0,-0.1752992464697951,0.9845151975399475,0.0,0.0,0.0,0,0,0.0
0,0.7363905748008834,-0.1173126444702898,0,0.0,0.0,-0.18358134985480185,0.9830045208367502,0.0,0.0,0.0,0,0,0.0
0,0.7622960130222994,-0.12733827207298887,0,0.0,0.0,-0.19185217190541376,0.9814238351167021,0.0,0.0,0.0,0,0,0.0
0,0.7880289432520314,-0.13779873286892663,0,0.0,0.0,-0.2000986721315673,0.9797757505731521,0.0,0.0,0.0,0,0,0.0
0,0.8135823055526528,-0.14869050101761538,0,0.0,0.0,-0.20827136611268887,0.9780710802684814,0.0,0.0,0.0,0,0,0.0
0,0.8389502521114058,-0.16000740101999483,0,0.0,0.0,-0.21636911131350497,0.9763116345047846,0.0,0.0,0.0,0,0,0.0
0,0.864127163648595,-0.17174316106015236,0,0.0,0.0,-0.2243598399224368,0.974506368491237,0.0,0.0,0.0,0,0,0.0
0,0.8891084226613716,-0.18388983288449065,0,0.0,0.0,-0.232062947173457,0.9727007703035756,0.0,0.0,0.0,0,0,0.0
0,0.9138943553585477,-0.1964302666330762,0,0.0,0.0,-0.23957272694614123,0.9708784210721699,0.0,0.0,0.0,0,0,0.0
0,0.9384835169420804,-0.20935226612582197,0,0.0,0.0,-0.24686271331022644,0.9690504634832559,0.0,0.0,0.0,0,0,0.0
